Brand,Model,Cnt
SEAT,ALHAMBRA XCELLENCE TDI,7277
SEAT,ARONA,416610
SEAT,ARONA FR SPORT,7537
SEAT,ARONA FR TSI,11763
SEAT,ARONA SE TECHNOLOGY,29343
SEAT,ARONA XCELLENCE LUX,10691
SEAT,ATECA,337435
SEAT,ATECA SE TECH,7963
SEAT,ATECA SE TECHNOLOGY,8772
SEAT,CUPRA ATECA,23550
SEAT,IBIZA,444673
SEAT,IBIZA FR SPORT,5649
SEAT,IBIZA FR TSI,22678
SEAT,IBIZA SE TECHNOLOGY,21914
SEAT,LEON,367768
SEAT,LEON FR TECHNOLOGY,22192
SEAT,LEON FR TSI,20192
SEAT,LEON SE DYNAMIC,24004
SEAT,LEON SPORTOURER ST,21911
SEAT,LEON SPORTSTOURER,26646
SEAT,LEON ST,179884
SEAT,MII,61427
SEAT,TARRACO,67302
SEAT,TOLEDO,15317
SKODA,CITIGO,155939
SKODA,FABIA,783465
SKODA,FABIA COLOUR EDITION,15573
SKODA,FABIA MONTE CARLO,7843
SKODA,FABIA S MPI,5723
SKODA,FABIA SE L,11468
SKODA,FABIA SE MPI,13181
SKODA,FABIA SE TSI,19755
SKODA,KAMIQ,87073
SKODA,KAROQ,369009
SKODA,KAROQ EDITION TSI,5031
SKODA,KAROQ SE L,33497
SKODA,KAROQ SE TECHNOLOGY,6742
SKODA,KAROQ SE TSI,9647
SKODA,KODIAQ,349795
SKODA,KODIAQ SE L,14504
SKODA,OCTAVIA,1092619
SKODA,OCTAVIA COMBI 2.0,6094
SKODA,OCTAVIA SE L,23655
SKODA,OCTAVIA SE TECHNOLOGY,27535
SKODA,OCTAVIA SE TSI,10126
SKODA,RAPID,226214
SKODA,RAPIDE,9984
SKODA,SCALA,115374
SKODA,SUPERB,363079
SKODA,SUPERB SE L,13347
SKODA,SUPERB SE TECHNOLOGY,7455
SKODA,YETI,17937
SMART,EQ FORFOUR,17941
SMART,EQ FORTWO CABRIO,9870
SMART,EQ FORTWO COUPE,30329
SMART,FORFOUR,127859
SMART,FORTWO,45307
SMART,FORTWO CABRIO,40476
SMART,FORTWO COUPE,160083
SMART,FORTWO COUPE ED,5443
SSANG YONG,KORANDO,5739
SSANG YONG,SSANGYONG KORANDO,6622
SSANG YONG,SSANGYONG REXTON,6328
SSANG YONG,SSANGYONG TIVOLI,13213
SSANG YONG,TIVOLI,13639
SUBARU,FORESTER,42790
SUBARU,IMPREZA,5647
SUBARU,OUTBACK,29382
SUBARU,XV,46508
SUZUKI,BALENO,75683
SUZUKI,CELERIO,73177
SUZUKI,CELERIO SZ2,5344
SUZUKI,IGNIS,192745
SUZUKI,IGNIS SZ-T DUALJET,11679
SUZUKI,JIMNY,64497
SUZUKI,SWIFT,238722
SUZUKI,SWIFT ATTITUDE DUALJET,9728
SUZUKI,SWIFT SPORT BOOSTERJET,5183
SUZUKI,SWIFT SZ-T BOOSTERJET,11113
SUZUKI,SWIFT SZ3 DUALJET,6360
SUZUKI,SWIFT SZ5 BOOSTERJET,11340
SUZUKI,SX4,138375
SUZUKI,SX4 S-CROSS SZ-T,6607
SUZUKI,SX4 SUZUKI SX4,11463
SUZUKI,"SX4, SUZUKI SX4",10180
SUZUKI,VITARA,332777
SUZUKI,VITARA SZ-T BOOSTERJET,23307
SUZUKI,VITARA SZ5 BOOSTERJET,8914
TESLA,MODEL 3,211925
TESLA,MODEL 3 LONG,16794
TESLA,MODEL 3 PERFORMANCE,12595
TESLA,MODEL 3 STANDARD,14238
TESLA,MODEL S,45629
TESLA,MODEL X,31816
TOYOTA,AURIS,323777
TOYOTA,AURIS ICON TECH,7206
TOYOTA,AVENSIS,55476
TOYOTA,AYGO,444029
TOYOTA,AYGO X-PLAY VVT-I,31388
TOYOTA,AYGO X-PRESS VVT-I,7323
TOYOTA,AYGO X-TREND VVT-I,24222
TOYOTA,C-HR,593480
TOYOTA,C-HR DESIGN HEV,12427
TOYOTA,C-HR DYNAMIC HEV,16753
TOYOTA,C-HR EXCEL HEV,20249
TOYOTA,C-HR ICON HEV,11948
TOYOTA,CAMRY,22635
TOYOTA,COROLLA,402738
TOYOTA,COROLLA DESIGN VVT-I,7281
TOYOTA,COROLLA EXCEL VVT-I,8649
TOYOTA,COROLLA ICON TECH,16108
TOYOTA,COROLLA ICON VVT-I,5144
TOYOTA,LAND,5731
TOYOTA,LAND CRUISER,5025
TOYOTA,LAND CRUISER (150,13382
TOYOTA,LAND CRUISER 150,7196
TOYOTA,PRIUS,36295
TOYOTA,PRIUS PHV,10214
TOYOTA,PRIUS PLUS,33620
TOYOTA,PRIUS PLUS EXCEL,7794
TOYOTA,PROACE,50164
TOYOTA,PROACE CITY VERSO,7832
TOYOTA,RAV4,392800
TOYOTA,RAV4 DESIGN HEV,9822
TOYOTA,RAV4 DYNAMIC HEV,9121
TOYOTA,RAV4 EXCEL HEV,13927
TOYOTA,VERSO,30923
TOYOTA,YARIS,566741
TOYOTA,YARIS HYBRID,487470
TOYOTA,YARIS ICON TECH,49599
TOYOTA,YARIS ICON VVT-I,22135
TOYOTA,YARIS Y20 VVT-I,12498
VAUXHALL,ADAM ENERGISED,13678
VAUXHALL,ASTRA DESIGN CDTI,6150
VAUXHALL,ASTRA ELITE NAV,17737
VAUXHALL,ASTRA SRI NAV,15831
VAUXHALL,ASTRA SRI TURBO,19521
VAUXHALL,ASTRA SRI VX-LINE,10144
VAUXHALL,ASTRA TECH LINE,7024
VAUXHALL,COMBO LIFE ENERGY,10238
VAUXHALL,CORSA DESIGN,10146
VAUXHALL,CORSA ELITE NAV,12252
VAUXHALL,CORSA ENERGY,27206
VAUXHALL,CORSA ENERGY AC,22392
VAUXHALL,CORSA GRIFFIN,39334
VAUXHALL,CORSA SE,12481
VAUXHALL,CORSA SE NAV,13996
VAUXHALL,CORSA SE PREMIUM,7447
VAUXHALL,CORSA SPORT,10440
VAUXHALL,CORSA SRI,9913
VAUXHALL,CORSA SRI NAV,19604
VAUXHALL,CORSA SRI VX-LINE,26542
VAUXHALL,CROSSLAND X ELITE,33772
VAUXHALL,CROSSLAND X GRIFFIN,6443
VAUXHALL,CROSSLAND X SE,20586
VAUXHALL,GRANDLAND X ELITE,17052
VAUXHALL,GRANDLAND X SE,24089
VAUXHALL,GRANDLAND X SPORT,33544
VAUXHALL,GRANDLAND X SRI,9274
VAUXHALL,GRANDLAND X TECH,6080
VAUXHALL,INSIGNIA ELITE NAV,5112
VAUXHALL,INSIGNIA SRI NAV,7440
VAUXHALL,INSIGNIA SRI VX-LINE,19507
VAUXHALL,MOKKA X ACTIVE,45320
VAUXHALL,MOKKA X DESIGN,21822
VAUXHALL,MOKKA X ELITE,34434
VAUXHALL,MOKKA X GRIFFIN,7058
VAUXHALL,VIVA SE,6596
VAUXHALL,VIVA SE AC,7570
VAUXHALL,ZAFIRA TOURER SRI,7790
VOLKSWAGEN,ARTEON,92115
VOLKSWAGEN,BEETLE,36792
VOLKSWAGEN,CADDY,287861
VOLKSWAGEN,CADDY MAXI C20,6623
VOLKSWAGEN,CALIFORNIA,9197
VOLKSWAGEN,CALIFORNIA BEACH,29787
VOLKSWAGEN,E-GOLF,12837
VOLKSWAGEN,GOLF,1832808
VOLKSWAGEN,GOLF GT TDI,9774
VOLKSWAGEN,GOLF GT TSI,9328
VOLKSWAGEN,GOLF GTD TDI,16642
VOLKSWAGEN,GOLF GTE ADVANCE,5081
VOLKSWAGEN,GOLF GTI PERFORMANCE,17948
VOLKSWAGEN,GOLF GTI TSI,6874
VOLKSWAGEN,GOLF LIFE TSI,5589
VOLKSWAGEN,GOLF MATCH EDITION,22226
VOLKSWAGEN,GOLF MATCH TDI,16127
VOLKSWAGEN,GOLF MATCH TSI,24014
VOLKSWAGEN,GOLF R TSI,22953
VOLKSWAGEN,GOLF R-LINE TDI,5896
VOLKSWAGEN,GOLF R-LINE TSI,9126
VOLKSWAGEN,GOLF S TSI,5026
VOLKSWAGEN,GOLF SE NAVIGATION,56440
VOLKSWAGEN,GOLF SE TSI,14480
VOLKSWAGEN,GOLF SPORTSVAN,252503
VOLKSWAGEN,ID3 PRO 150,48460
VOLKSWAGEN,JETTA,13587
VOLKSWAGEN,KOMBI,128470
VOLKSWAGEN,MOVE UP,20263
VOLKSWAGEN,MULTIVAN,135731
VOLKSWAGEN,PASSAT,705506
VOLKSWAGEN,PASSAT GT TDI,7708
VOLKSWAGEN,PASSAT SE BUSINESS,16712
VOLKSWAGEN,POLO,1227729
VOLKSWAGEN,POLO BEATS TSI,9690
VOLKSWAGEN,POLO GTI PLUS,5790
VOLKSWAGEN,POLO MATCH TSI,8840
VOLKSWAGEN,POLO R-LINE TSI,11240
VOLKSWAGEN,POLO SE,20862
VOLKSWAGEN,POLO SE EVO,22844
VOLKSWAGEN,POLO SE TSI,78292
VOLKSWAGEN,POLO SEL TSI,9250
VOLKSWAGEN,SHARAN,88303
VOLKSWAGEN,SHARAN SE NAVIGATION,6647
VOLKSWAGEN,T-CROSS,286772
VOLKSWAGEN,T-CROSS SE TSI,9546
VOLKSWAGEN,T-ROC,741389
VOLKSWAGEN,T-ROC DESIGN TSI,12888
VOLKSWAGEN,T-ROC R-LINE TDI,6119
VOLKSWAGEN,T-ROC R-LINE TSI,10261
VOLKSWAGEN,T-ROC SE TDI,7817
VOLKSWAGEN,T-ROC SE TSI,28718
VOLKSWAGEN,T-ROC SEL TDI,6004
VOLKSWAGEN,T-ROC SEL TSI,16426
VOLKSWAGEN,TIGUAN,1109254
VOLKSWAGEN,TIGUAN MATCH TDI,14496
VOLKSWAGEN,TIGUAN MATCH TSI,22607
VOLKSWAGEN,TIGUAN R LINE,7442
VOLKSWAGEN,TIGUAN R-LINE TDI,15186
VOLKSWAGEN,TIGUAN R-LINE TECH,15039
VOLKSWAGEN,TIGUAN SE NAV,22082
VOLKSWAGEN,TIGUAN SE NAVIGATION,9326
VOLKSWAGEN,TIGUAN SEL TDI,18092
VOLKSWAGEN,TIGUAN SEL TSI,13222
VOLKSWAGEN,TOUAREG,83118
VOLKSWAGEN,TOUAREG V6 R-LINE,9266
VOLKSWAGEN,TOURAN,398728
VOLKSWAGEN,TOURAN SE FAMILY,6691
VOLKSWAGEN,UP,5067
VOLKSWAGEN,UP BY BEATS,5435
VOLKSWAGEN,UP GTI,6212
VOLKSWAGEN,UP!,416709
VOLVO,S60,25701
VOLVO,S90,28518
VOLVO,V40,138352
VOLVO,V40 CROSS COUNTRY,51458
VOLVO,V40 R-DESIGN EDITION,9226
VOLVO,V40 R-DESIGN NAV,5668
VOLVO,V40 R-DESIGN PRO,5730
VOLVO,V60,173179
VOLVO,V60 CROSS COUNTRY,46236
VOLVO,V60 T6 TWIN,5556
VOLVO,V60 T8 TWIN,16336
VOLVO,V90,93301
VOLVO,V90 CROSS COUNTRY,57145
VOLVO,V90 T8 TWIN,11818
VOLVO,XC40,278622
VOLVO,XC40 INSCRIPTION PRO,9296
VOLVO,XC40 R-DESIGN PRO,10709
VOLVO,XC40 R-DESIGN T3,6917
VOLVO,XC40 T5 TWIN,7229
VOLVO,XC60,312163
VOLVO,XC60 MOMENTUM D4,6844
VOLVO,XC60 MOMENTUM T5,5030
VOLVO,XC60 R-DESIGN D4,6633
VOLVO,XC60 T8 TWIN,43144
VOLVO,XC90,95102
VOLVO,XC90 T8 TWIN,19608
